appid,title,publisher_group,language,recommendationid,voted_up,cl_sentiment,cl_theme,cl_pc_specific,cl_lang_group,cl_summary
1113000,Persona 4 Golden,sega_atlus,english,200963222,True,positive,gameplay,not_mentioned,english,"Fun gameplay experience, annoyed by Steam review prompts."
1113000,Persona 4 Golden,sega_atlus,english,213234250,True,negative,other,not_mentioned,english,Emotional reaction to motorcycle-related issue or loss.
1113000,Persona 4 Golden,sega_atlus,english,214938661,True,positive,other,not_mentioned,english,"Cherished game with memorable experiences, recommends completing character social links."
1113000,Persona 4 Golden,sega_atlus,english,217211996,True,mixed,gameplay,not_mentioned,english,"Favorite game with flawed dungeons, character issues; wait for sale"
1113000,Persona 4 Golden,sega_atlus,schinese,203122275,True,positive,gameplay,not_mentioned,chinese,"Fun game, looking forward to Persona 4 Royal"
1113000,Persona 4 Golden,sega_atlus,english,204006837,True,mixed,other,not_mentioned,english,Review text too minimal to determine sentiment or theme.
1113000,Persona 4 Golden,sega_atlus,english,200941619,True,negative,other,not_mentioned,english,Dismissive one-word review expressing dissatisfaction.
1113000,Persona 4 Golden,sega_atlus,schinese,202225888,True,positive,gameplay,not_mentioned,chinese,Enthusiastic fan expressing deep love for Persona 5 gameplay experience
1113000,Persona 4 Golden,sega_atlus,english,215844381,True,positive,gameplay,yes_positive,english,"Excited to play game on PC, eager for immersive experience."
1113000,Persona 4 Golden,sega_atlus,english,220156884,True,positive,other,not_mentioned,english,Exceptional voice acting elevates the game to perfect score.
1113000,Persona 4 Golden,sega_atlus,schinese,207865551,True,negative,other,not_mentioned,chinese,Incoherent review with unclear complaint or feedback.
1113000,Persona 4 Golden,sega_atlus,english,200908968,True,positive,other,not_mentioned,english,"Nearly as good as Persona 5, strong game overall"
1113000,Persona 4 Golden,sega_atlus,japanese,221884706,True,positive,port_quality,not_mentioned,japanese,"Well-polished classic, highly recommended."
1113000,Persona 4 Golden,sega_atlus,schinese,221058316,False,negative,gameplay,not_mentioned,chinese,Loves P3R but frustrated with P4G's lack of in-dungeon save system.
1113560,NieR Replicant,square_enix,schinese,176502383,False,mixed,gameplay,not_mentioned,chinese,"Good music and controls, but repetitive and tedious side quests feel like padding."
1113560,NieR Replicant,square_enix,english,202346321,True,positive,value,not_mentioned,english,"Sequel to Automata, slightly weaker but still highly recommended."
1113560,NieR Replicant,square_enix,brazilian,201475454,True,positive,gameplay,not_mentioned,portuguese,Great direction and soundtrack despite excessive backtracking and fetch quests.
1113560,NieR Replicant,square_enix,english,207509498,True,positive,gameplay,not_mentioned,english,"Love it but requires patience; faithful remake with slow pacing, backtracking."
1113560,NieR Replicant,square_enix,english,171120005,True,positive,other,not_mentioned,english,Masterpiece remake bringing beloved game to West with artistic brilliance
1113560,NieR Replicant,square_enix,english,178308225,True,negative,other,not_mentioned,english,Insufficient review content to evaluate game.
1113560,NieR Replicant,square_enix,english,186651866,True,negative,story,not_mentioned,english,Terrible experience despite good story and creator criticism.
1113560,NieR Replicant,square_enix,english,205234229,True,positive,other,not_mentioned,english,"Great game, perfect score"
1113560,NieR Replicant,square_enix,brazilian,203842851,True,positive,graphics,yes_positive,portuguese,"Excellent graphics, story, gameplay with modest PC requirements."
1113560,NieR Replicant,square_enix,tchinese,171040928,True,positive,gameplay,not_mentioned,chinese,Game remains worthwhile even on fifth playthrough
1113560,NieR Replicant,square_enix,schinese,218619204,False,negative,gameplay,not_mentioned,chinese,Not fun to play.
1113560,NieR Replicant,square_enix,english,219808498,False,negative,gameplay,not_mentioned,english,Disappointing follow-up to Automata; poorly designed side quests ruin pacing.
1113560,NieR Replicant,square_enix,schinese,187376811,True,positive,other,not_mentioned,chinese,"Not bad, generally positive brief impression."
1113560,NieR Replicant,square_enix,french,162291076,True,mixed,gameplay,not_mentioned,french,"Flawed game with poor side quests but excellent music, combat, and emotional narrative."
1113560,NieR Replicant,square_enix,english,201686409,True,positive,story,not_mentioned,english,"Good story and soundtrack despite dated gameplay, slightly below Automata."
1113560,NieR Replicant,square_enix,schinese,176426833,True,mixed,story,not_mentioned,chinese,"Excellent story, but combat mechanics feel somewhat lacking."
1113560,NieR Replicant,square_enix,english,176302035,True,positive,other,not_mentioned,english,Enthusiastic but minimal praise for the game overall.
1113560,NieR Replicant,square_enix,schinese,179654569,True,positive,other,not_mentioned,japanese,"Highly engaging and infectious, maximum appeal."
1113560,NieR Replicant,square_enix,english,213008282,True,mixed,gameplay,not_mentioned,english,Strong story and emotion undermined by sloppy gameplay and tedious sidequests.
1113560,NieR Replicant,square_enix,english,178874474,True,positive,story,not_mentioned,english,"Excellent story with incredible revelations, gameplay not Automata level."
1113560,NieR Replicant,square_enix,brazilian,221703019,True,mixed,gameplay,not_mentioned,portuguese,Strong story and soundtrack offset by repetitive gameplay and grinding issues.
1113560,NieR Replicant,square_enix,english,166405871,False,negative,performance,yes_negative,english,"Good game but severe performance issues on AMD 7900 GRE, locked at 24-30 fps."
1113560,NieR Replicant,square_enix,koreana,173901142,True,mixed,gameplay,not_mentioned,korean,"Outstanding soundtrack, but gameplay is just okay"
1113560,NieR Replicant,square_enix,brazilian,185021616,False,negative,performance,yes_negative,portuguese,"Game plagued by severe performance issues, unplayable frame rates."
1113560,NieR Replicant,square_enix,german,170489218,True,positive,other,not_mentioned,english,User loves the game
1113560,NieR Replicant,square_enix,english,205012684,True,positive,gameplay,not_mentioned,english,Excellent story and music overcome repetitive backtracking and solid combat.
1113560,NieR Replicant,square_enix,english,219212491,False,negative,gameplay,not_mentioned,english,Criticizes repetitive scripted gameplay mechanics and delivery loop structure
1113560,NieR Replicant,square_enix,english,170964369,True,positive,other,not_mentioned,english,Nier games have unique emotional impact and quality.
1113560,NieR Replicant,square_enix,english,214644713,True,positive,story,not_mentioned,english,"Great story, tedious gameplay compared to Automata, worth playing"
1113560,NieR Replicant,square_enix,schinese,215383021,True,mixed,gameplay,not_mentioned,chinese,Beautiful character designs and music offset by small maps and tedious multi-ending design
1113560,NieR Replicant,square_enix,english,177238382,True,negative,other,not_mentioned,english,User lost saves and expresses frustration with sarcasm.
1113560,NieR Replicant,square_enix,ukrainian,199077951,False,negative,other,not_mentioned,english,"Mediocre experience with significant issues, score reflects average gameplay"
1113560,NieR Replicant,square_enix,english,187715043,True,positive,content_volume,not_mentioned,english,New Game+ is essential; you haven't truly played without it.
1113560,NieR Replicant,square_enix,english,201319719,False,negative,other,not_mentioned,english,Strong discouragement against purchasing or playing.
1113560,NieR Replicant,square_enix,english,199634022,True,positive,other,not_mentioned,english,"Amazing experience, memorable game, recommends playing Nier Automata after"
1113560,NieR Replicant,square_enix,english,185474862,True,positive,story,not_mentioned,english,Excellent game with emotionally impactful narrative.
1113560,NieR Replicant,square_enix,schinese,199110352,False,negative,gameplay,not_mentioned,chinese,"Four playthroughs needed for true ending, too long. Melee controls poor."
1113560,NieR Replicant,square_enix,english,200817546,True,positive,story,not_mentioned,english,"Exceptional character writing, OST, and emotionally compelling tragic story."
1113560,NieR Replicant,square_enix,brazilian,178658909,True,positive,port_quality,not_mentioned,portuguese,"Nier remaster is excellent, deserves 9/10 despite being remake"
1113560,NieR Replicant,square_enix,brazilian,221779885,False,negative,performance,yes_negative,portuguese,Poor optimization is incomprehensible and impressive in bad way.
1113560,NieR Replicant,square_enix,english,221331732,True,positive,story,not_mentioned,english,"Story is worth playing despite aging poorly; unique experience, play before Automata."
1113560,NieR Replicant,square_enix,english,193099793,True,negative,other,not_mentioned,english,User expresses clear disapproval with minimal context provided
1113560,NieR Replicant,square_enix,french,204650648,True,positive,other,not_mentioned,english,Thumbs up gesture without substantive review content
1113560,NieR Replicant,square_enix,japanese,202515156,True,mixed,gameplay,not_mentioned,japanese,"Repetitive quests bore, but excellent story and music redeem."
1113560,NieR Replicant,square_enix,schinese,202858476,False,negative,graphics,not_mentioned,chinese,"Terrible graphics, controls, story; only music decent. Worth max $30."
1113560,NieR Replicant,square_enix,english,189218277,False,negative,gameplay,not_mentioned,english,"Strong worldbuilding undermined by floaty combat, bland quests, and weak story"
1113560,NieR Replicant,square_enix,english,219388781,True,positive,other,not_mentioned,english,"Highly praised game, excellent quality."
1113560,NieR Replicant,square_enix,turkish,202611780,True,positive,story,not_mentioned,turkish,Emotional masterpiece with great music; manual saves feel outdated.
1151640,Horizon Zero Dawn,sie,english,221609074,True,positive,gameplay,not_mentioned,english,Fun gameplay with interesting concept; story and lore need expansion
1151640,Horizon Zero Dawn,sie,koreana,197933128,True,positive,gameplay,not_mentioned,korean,Game becomes fun after learning mechanics and practicing headshots.
1151640,Horizon Zero Dawn,sie,english,196112767,True,positive,gameplay,not_mentioned,english,Memorable audio from weapon sound design leaves lasting impression.
1151640,Horizon Zero Dawn,sie,schinese,204133447,False,negative,other,not_mentioned,chinese,Review text appears incomplete or unclear for analysis.
1151640,Horizon Zero Dawn,sie,english,189295144,True,positive,other,not_mentioned,english,Positive minimal review expressing satisfaction with the game
1151640,Horizon Zero Dawn,sie,french,194256567,True,positive,port_quality,yes_positive,french,"Excellent PC port with great visuals, strong gameplay, minor graphical bugs."
1151640,Horizon Zero Dawn,sie,czech,194495034,True,positive,story,not_mentioned,other,"Perfect game with great story, highly recommended"
1151640,Horizon Zero Dawn,sie,latam,195745719,True,positive,gameplay,not_mentioned,spanish,"Excellent gameplay, engaging story, great soundtrack. No regrets purchasing."
1151640,Horizon Zero Dawn,sie,english,208964994,True,not_mentioned,other,not_mentioned,english,Insufficient review content provided for analysis
1151640,Horizon Zero Dawn,sie,russian,197020158,True,positive,other,not_mentioned,other,Fun thing
1151640,Horizon Zero Dawn,sie,brazilian,203544812,True,negative,other,not_mentioned,other,Unintelligible or spam review content
1151640,Horizon Zero Dawn,sie,brazilian,196684588,True,positive,other,not_mentioned,portuguese,Highly recommended game
1151640,Horizon Zero Dawn,sie,brazilian,197504926,True,mixed,gameplay,not_mentioned,portuguese,"Decent open-world game impressive for its time, but dated now with weak story"
1151640,Horizon Zero Dawn,sie,russian,217948948,True,mixed,gameplay,not_mentioned,russian,"Beautiful world but repetitive gameplay, expensive, tedious quests, crashes."
1151640,Horizon Zero Dawn,sie,schinese,203838992,True,mixed,gameplay,not_mentioned,chinese,"Solid action RPG with engaging story, but repetitive combat lacks depth."
1151640,Horizon Zero Dawn,sie,english,219405897,True,positive,gameplay,not_mentioned,english,Slow start but engaging story and fun gameplay hook players quickly.
1151640,Horizon Zero Dawn,sie,english,217060241,True,positive,story,not_mentioned,english,"Incredible story game with beautiful graphics, music, and lasting impact."
1151640,Horizon Zero Dawn,sie,russian,216641798,True,positive,graphics,not_mentioned,russian,"Excellent graphics, detailed machines system, engaging story progression"
1151640,Horizon Zero Dawn,sie,brazilian,201661998,True,positive,other,not_mentioned,portuguese,One of the best and most beautiful games ever played
1151640,Horizon Zero Dawn,sie,english,188159156,True,positive,other,not_mentioned,english,User recommends the game without specific details.
1151640,Horizon Zero Dawn,sie,english,190973198,True,positive,content_volume,not_mentioned,english,Positive experience with substantial playtime investment
1151640,Horizon Zero Dawn,sie,english,208501959,True,positive,other,not_mentioned,other,Moderately positive review with numeric rating of 7.5 out of 10.
1151640,Horizon Zero Dawn,sie,english,203859253,True,positive,story,not_mentioned,english,"Amazing storytelling, visuals, and cool game mechanics praised"
1151640,Horizon Zero Dawn,sie,english,192526443,True,positive,gameplay,not_mentioned,english,"Solid mechanics, addictive gameplay, cool story mixing old and new."
1151640,Horizon Zero Dawn,sie,english,189722466,False,negative,gameplay,not_mentioned,english,Amazing visuals but boring open-world gameplay and uninspired side quests.
1151640,Horizon Zero Dawn,sie,english,219496287,True,positive,story,not_mentioned,english,"Loved story, characters, and plot twists. Among favorite games."
1151640,Horizon Zero Dawn,sie,russian,199028693,True,mixed,gameplay,not_mentioned,russian,Good adventure with solid world-building but lifeless cities.
1151640,Horizon Zero Dawn,sie,english,201380926,True,positive,other,not_mentioned,english,Enthusiastic but minimal feedback.
1151640,Horizon Zero Dawn,sie,english,214494148,True,positive,gameplay,not_mentioned,english,Beautiful scenery with occasionally janky combat in tight spaces.
1151640,Horizon Zero Dawn,sie,brazilian,212739005,True,positive,other,not_mentioned,portuguese,Good game
1151640,Horizon Zero Dawn,sie,english,187802050,True,positive,port_quality,yes_positive,english,"Great port to Steam Deck, but upscaled version not worth extra cost"
1151640,Horizon Zero Dawn,sie,english,198263456,False,negative,gameplay,not_mentioned,english,"Likes story and setting, but gameplay, dialogue, and quests are boring."
1151640,Horizon Zero Dawn,sie,spanish,206649146,True,positive,gameplay,not_mentioned,spanish,"Great stealth combat, excellent graphics, easy to learn gameplay"
1151640,Horizon Zero Dawn,sie,german,208494685,True,positive,graphics,not_mentioned,other,Praising the game's excellent graphics quality
1151640,Horizon Zero Dawn,sie,brazilian,188866010,True,positive,gameplay,not_mentioned,portuguese,"Bow, giant metal monsters, and great story. Perfect game."
1151640,Horizon Zero Dawn,sie,russian,202932079,True,positive,other,not_mentioned,russian,Very good overall
1151640,Horizon Zero Dawn,sie,spanish,212536002,True,positive,story,not_mentioned,spanish,"Engaging story, excellent graphics, compelling combat and character arc."
1151640,Horizon Zero Dawn,sie,english,189471586,True,positive,console_comparison,yes_positive,english,PC port maintains visual appeal; engaging story and combat gameplay excellent.
1151640,Horizon Zero Dawn,sie,russian,220197259,False,negative,gameplay,not_mentioned,russian,Game fails to engage after 15 hours of play.
1151640,Horizon Zero Dawn,sie,hungarian,206208594,True,positive,story,not_mentioned,other,"One of the best games ever played, great protagonist and good stories."
1151640,Horizon Zero Dawn,sie,schinese,218006545,False,negative,gameplay,not_mentioned,chinese,Requires 10 hours of grinding before enjoying actual gameplay
1151640,Horizon Zero Dawn,sie,french,191964544,True,positive,other,not_mentioned,french,One word review expressing extreme satisfaction with the game.
1151640,Horizon Zero Dawn,sie,english,221035370,False,negative,gameplay,not_mentioned,english,"Boring gameplay despite decent story concept, typical Ubisoft formula."
1151640,Horizon Zero Dawn,sie,english,208434743,True,positive,other,not_mentioned,english,User expresses brief positive approval.
1151640,Horizon Zero Dawn,sie,brazilian,194217478,True,positive,other,not_mentioned,portuguese,Excellent game
1151640,Horizon Zero Dawn,sie,brazilian,215406708,False,negative,story,not_mentioned,portuguese,"Combat good, story and dialogue poor, overpriced even free."
1151640,Horizon Zero Dawn,sie,english,217784663,True,positive,gameplay,not_mentioned,english,Great game with lots of fun
1151640,Horizon Zero Dawn,sie,spanish,204106066,True,positive,other,not_mentioned,spanish,It is good
1151640,Horizon Zero Dawn,sie,english,190262284,True,mixed,port_quality,yes_negative,english,"Console port with good story, but repetitive quests and controller-focused design limit PC experience."
1172470,Apex Legends,ea,english,221204668,True,positive,gameplay,not_mentioned,english,Initially mediocre but became fun with continued play
1172470,Apex Legends,ea,russian,221913327,True,negative,multiplayer,not_mentioned,russian,"Aggressive multiplayer trash talk, threatening confrontation."
1172470,Apex Legends,ea,schinese,220474097,False,negative,other,not_mentioned,chinese,"Single character negative expression, insufficient review content."
1172470,Apex Legends,ea,schinese,221578485,True,positive,gameplay,not_mentioned,chinese,Game is fun to play
1172470,Apex Legends,ea,russian,220356941,True,positive,other,not_mentioned,russian,Very positive rating expressed in Russian.
1172470,Apex Legends,ea,schinese,221889202,True,positive,other,not_mentioned,chinese,"Laughing response, no substantive review content provided."
1172470,Apex Legends,ea,english,220388276,False,negative,other,not_mentioned,english,Game lacks personality; reviewer wants Titanfall back instead.
1172470,Apex Legends,ea,english,221893725,True,mixed,gameplay,not_mentioned,english,"Excellent movement and gunplay, but poor sound design and unbalanced character tuning."
1172470,Apex Legends,ea,english,221631376,True,mixed,other,not_mentioned,english,Game is acceptable but unremarkable
1172470,Apex Legends,ea,tchinese,220823331,True,negative,other,not_mentioned,chinese,Unclear or incomplete review text provided.
1172470,Apex Legends,ea,english,221642871,True,positive,other,not_mentioned,english,Game is nice
1172470,Apex Legends,ea,russian,221429477,True,negative,other,not_mentioned,other,Invalid or empty review submission
1172470,Apex Legends,ea,english,221672586,True,negative,content_volume,not_mentioned,english,Reviewer criticizes game for lacking substantial content.
1172470,Apex Legends,ea,schinese,221577877,True,positive,other,not_mentioned,chinese,User requests positive review in exchange for heirloom item.
1172470,Apex Legends,ea,english,221551334,False,mixed,multiplayer,not_mentioned,english,Addictive gameplay hindered by inconsistent teammate quality and server issues.
1172470,Apex Legends,ea,english,221042309,False,negative,gameplay,not_mentioned,english,"Bots, poor map design, and broken matchmaking ruin multiplayer experience"
1172470,Apex Legends,ea,english,221544054,False,negative,other,not_mentioned,english,Game is poor quality with no specific critique.
1172470,Apex Legends,ea,schinese,221887529,True,positive,gameplay,not_mentioned,chinese,Addictive gameplay that appeals to children
1172470,Apex Legends,ea,english,221739522,True,positive,other,not_mentioned,english,User finds the game good
1172470,Apex Legends,ea,schinese,221497928,False,negative,gameplay,not_mentioned,chinese,Waiting for nerf to butt guy before giving positive review
1172470,Apex Legends,ea,schinese,220985566,True,positive,other,not_mentioned,chinese,FPS god - enthusiastic praise for exceptional gameplay.
1172470,Apex Legends,ea,schinese,221233232,False,negative,content_volume,not_mentioned,chinese,Promised character unavailable after 2 hours of gameplay.
1172470,Apex Legends,ea,turkish,220368449,True,negative,content_volume,not_mentioned,turkish,"Game hasn't changed since launch, boring mods, repetitive maps and weak rewards."
1172470,Apex Legends,ea,schinese,221259343,False,negative,other,not_mentioned,chinese,Quitting the game series permanently due to dissatisfaction.
1172470,Apex Legends,ea,english,221962766,False,negative,gameplay,not_mentioned,english,"Game degraded post-season 10: unfair gameplay, excessive monetization, broken event weapons."
1172470,Apex Legends,ea,schinese,221671286,True,positive,gameplay,not_mentioned,chinese,"60 hours played, heirloom drop system is fun and engaging"
1172470,Apex Legends,ea,tchinese,220424436,False,negative,content_volume,not_mentioned,chinese,"Garbage game, no heirloom items provided."
1172470,Apex Legends,ea,brazilian,220383565,False,negative,other,not_mentioned,portuguese,Awful game with despicable EA support; account hacked and banned.
1172470,Apex Legends,ea,english,221960519,True,positive,other,not_mentioned,english,Positive feedback with minimal detail provided
1172470,Apex Legends,ea,schinese,221634094,True,positive,gameplay,not_mentioned,chinese,"Only played hours, but really fun and engaging"
1172470,Apex Legends,ea,schinese,220405139,False,negative,multiplayer,not_mentioned,chinese,Free-to-play with widespread cheating and toxic community defense.
1172470,Apex Legends,ea,english,220566139,True,positive,other,not_mentioned,english,Enthusiastic approval with minimal detail provided
1172470,Apex Legends,ea,english,220336073,True,positive,other,not_mentioned,english,Positive about recent game changes and updates.
1172470,Apex Legends,ea,schinese,221464850,False,negative,performance,yes_negative,chinese,Game has startup issues on PC
1172470,Apex Legends,ea,english,220871940,False,negative,gameplay,not_mentioned,english,"One of worst games ever played; poor tutorial, unfair matchmaking, sweaty."
1172470,Apex Legends,ea,english,221714142,True,negative,other,not_mentioned,english,"Unclear review content, insufficient information provided."
1172470,Apex Legends,ea,english,221721188,False,negative,content_volume,not_mentioned,english,Valkyrie character lacks quality cosmetic skin options.
1172470,Apex Legends,ea,latam,220971818,True,negative,other,not_mentioned,spanish,Negative sentiment expressed with minimal context or detail provided.
1172470,Apex Legends,ea,english,220722964,True,mixed,gameplay,not_mentioned,english,Game has many mechanics requiring significant learning investment
1172470,Apex Legends,ea,schinese,221643242,True,positive,gameplay,not_mentioned,chinese,Fun and enjoyable game
1172470,Apex Legends,ea,schinese,221740155,True,positive,other,not_mentioned,chinese,Very fun game
1172470,Apex Legends,ea,schinese,221195262,True,negative,other,not_mentioned,chinese,Unclear or spam review with minimal meaningful content.
1172470,Apex Legends,ea,english,220879647,True,positive,gameplay,not_mentioned,english,"Fast-paced gameplay loop creates addictive, engaging experience."
1172470,Apex Legends,ea,tchinese,221750418,False,negative,other,not_mentioned,english,Reviewer expresses frustration or disappointment with the game.
1172470,Apex Legends,ea,french,221529013,True,positive,other,not_mentioned,english,User expresses amusement with the game.
1172470,Apex Legends,ea,schinese,221459225,True,positive,gameplay,not_mentioned,chinese,"Fun game, planning to return after 1000 hours of ranked climbing."
1172470,Apex Legends,ea,russian,221319801,True,negative,other,not_mentioned,russian,"Extremely brief negative comment with profanity, no substantive critique."
1172470,Apex Legends,ea,schinese,221735364,True,negative,other,not_mentioned,other,Insufficient review content provided for analysis.
1172470,Apex Legends,ea,schinese,220568023,True,mixed,other,not_mentioned,chinese,"It's okay, neither particularly good nor bad."
1172470,Apex Legends,ea,schinese,221551839,True,positive,other,not_mentioned,chinese,"Absolutely excellent, the best of the best"
1174180,Red Dead Redemption 2,take_two,portuguese,221264901,True,positive,other,not_mentioned,portuguese,Very good
1174180,Red Dead Redemption 2,take_two,english,221952257,True,positive,other,not_mentioned,english,Reviewer declares game as the best ever
1174180,Red Dead Redemption 2,take_two,brazilian,221434725,True,positive,other,not_mentioned,english,Enthusiastic approval with minimal detail provided
1174180,Red Dead Redemption 2,take_two,vietnamese,221031786,False,negative,multiplayer,not_mentioned,english,Online multiplayer plagued by hackers and cheaters
1174180,Red Dead Redemption 2,take_two,schinese,221527269,True,positive,gameplay,not_mentioned,chinese,Fun game
1174180,Red Dead Redemption 2,take_two,russian,221856069,True,positive,other,not_mentioned,english,User loves the game
1174180,Red Dead Redemption 2,take_two,schinese,221368641,True,negative,other,not_mentioned,chinese,Criticism about game delays; hopes GTA6 won't be postponed again.
1174180,Red Dead Redemption 2,take_two,russian,221704633,True,negative,other,not_mentioned,english,Empty review with no meaningful content provided
1174180,Red Dead Redemption 2,take_two,english,221314001,True,positive,other,not_mentioned,english,Greatest of all time - highly recommended
1174180,Red Dead Redemption 2,take_two,ukrainian,221683227,True,positive,other,not_mentioned,russian,Reviewer enjoyed the game overall
1174180,Red Dead Redemption 2,take_two,english,221940855,True,negative,other,not_mentioned,english,"Strongly negative reaction, dismissing game as poor quality."
1174180,Red Dead Redemption 2,take_two,spanish,221579567,True,positive,content_volume,not_mentioned,spanish,Great game but feels short on content
1174180,Red Dead Redemption 2,take_two,turkish,221776593,True,positive,other,not_mentioned,turkish,World's best game.
1174180,Red Dead Redemption 2,take_two,latam,221193479,True,positive,other,not_mentioned,english,Reviewer considers this the best game overall
1174180,Red Dead Redemption 2,take_two,schinese,221909395,True,negative,other,not_mentioned,other,Insufficient review content provided for analysis
1174180,Red Dead Redemption 2,take_two,brazilian,221307901,True,negative,other,not_mentioned,portuguese,Brief negative comment about horse in cold weather.
1174180,Red Dead Redemption 2,take_two,brazilian,221969193,True,positive,story,not_mentioned,portuguese,Great game with excellent story
1174180,Red Dead Redemption 2,take_two,english,221858398,True,positive,other,not_mentioned,english,Reviewer praises game as life-changing without specific details
1174180,Red Dead Redemption 2,take_two,ukrainian,221467667,True,positive,other,not_mentioned,russian,"Excellent game, very positive reaction"
1174180,Red Dead Redemption 2,take_two,ukrainian,221654357,True,negative,other,not_mentioned,russian,Spam or gibberish message without meaningful review content.
1174180,Red Dead Redemption 2,take_two,english,221289846,True,positive,other,not_mentioned,english,Reviewer praises game as absolute masterpiece
